15.02.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 119
16.02.2017 04:14:59: DCF time = 04:15:00, PREV-NEW = -1, DURATION = 4499
17.02.2017 03:05:59: DCF time = 03:06:00, PREV-NEW = -1, DURATION = 359
18.02.2017 03:02:58: DCF time = 03:03:00, PREV-NEW = -2, DURATION = 178
19.02.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
20.02.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
21.02.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
22.02.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
23.02.2017 03:05:58: DCF time = 03:06:00, PREV-NEW = -2, DURATION = 358
24.02.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
25.02.2017 03:02:58: DCF time = 03:03:00, PREV-NEW = -2, DURATION = 178
26.02.2017 03:06:58: DCF time = 03:07:00, PREV-NEW = -2, DURATION = 418
27.02.2017 03:15:58: DCF time = 03:16:00, PREV-NEW = -2, DURATION = 958
28.02.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
01.03.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
02.03.2017 03:08:58: DCF time = 03:09:00, PREV-NEW = -2, DURATION = 538
03.03.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
04.03.2017 04:38:58: DCF time = 04:39:00, PREV-NEW = -2, DURATION = 5938
05.03.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
06.03.2017 03:02:58: DCF time = 03:03:00, PREV-NEW = -2, DURATION = 178
07.03.2017 03:02:58: DCF time = 03:03:00, PREV-NEW = -2, DURATION = 178
08.03.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
09.03.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
10.03.2017 03:06:58: DCF time = 03:07:00, PREV-NEW = -2, DURATION = 418
11.03.2017 05:41:58: DCF time = 05:42:00, PREV-NEW = -2, DURATION = 9718
12.03.2017 05:01:58: DCF time = 05:02:00, PREV-NEW = -2, DURATION = 7318
13.03.2017 03:13:58: DCF time = 03:14:00, PREV-NEW = -2, DURATION = 838
14.03.2017 03:59:58: DCF time = 04:00:00, PREV-NEW = -2, DURATION = 3598
15.03.2017 04:54:58: DCF time = 04:55:00, PREV-NEW = -2, DURATION = 6898
16.03.2017 05:04:58: DCF time = 05:05:00, PREV-NEW = -2, DURATION = 7498
17.03.2017 03:06:58: DCF time = 03:07:00, PREV-NEW = -2, DURATION = 418
18.03.2017 11:02:58: DCF time = 11:03:00, PREV-NEW = -2, DURATION = 28978
19.03.2017 03:02:59: DCF time = 03:03:00, PREV-NEW = -1, DURATION = 179
20.03.2017 03:06:58: DCF time = 03:07:00, PREV-NEW = -2, DURATION = 418
21.03.2017 03:41:58: DCF time = 03:42:00, PREV-NEW = -2, DURATION = 2518
22.03.2017 03:09:58: DCF time = 03:10:00, PREV-NEW = -2, DURATION = 598
23.03.2017 03:44:58: DCF time = 03:45:00, PREV-NEW = -2, DURATION = 2698
24.03.2017 17:00:57: DCF time = 17:01:00, PREV-NEW = -3, DURATION = 50457
25.03.2017 03:06:59: DCF time = 03:07:00, PREV-NEW = -1, DURATION = 419
26.03.2017 03:06:58: DCF time = 04:07:00, PREV-NEW = -3602, DURATION = 418
27.03.2017 03:02:58: DCF time = 03:03:00, PREV-NEW = -2, DURATION = 178
28.03.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
29.03.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
30.03.2017 03:02:58: DCF time = 03:03:00, PREV-NEW = -2, DURATION = 178
31.03.2017 03:02:58: DCF time = 03:03:00, PREV-NEW = -2, DURATION = 178
01.04.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
02.04.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
03.04.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
04.04.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
05.04.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
06.04.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
07.04.2017 03:03:59: DCF time = 03:04:00, PREV-NEW = -1, DURATION = 239
01.01.1970 00:04:58: DCF time = 17:22:00, PREV-NEW = -1491758222, DURATION = 298
10.04.2017 03:03:59: DCF time = 03:04:00, PREV-NEW = -1, DURATION = 239
11.04.2017 03:01:59: DCF time = 03:02:00, PREV-NEW = -1, DURATION = 119
12.04.2017 03:15:59: DCF time = 03:16:00, PREV-NEW = -1, DURATION = 959
01.01.1970 00:07:33: DCF time = 23:30:00, PREV-NEW = -1492384947, DURATION = 453
17.04.2017 04:40:00: DCF time = 04:40:00, PREV-NEW = 0, DURATION = 6000
18.04.2017 03:01:59: DCF time = 03:02:00, PREV-NEW = -1, DURATION = 119
19.04.2017 03:03:59: DCF time = 03:04:00, PREV-NEW = -1, DURATION = 239
20.04.2017 03:02:59: DCF time = 03:03:00, PREV-NEW = -1, DURATION = 179
21.04.2017 03:02:59: DCF time = 03:03:00, PREV-NEW = -1, DURATION = 179
01.01.1970 00:01:55: DCF time = 17:53:00, PREV-NEW = -1492969865, DURATION = 115
24.04.2017 03:02:59: DCF time = 03:03:00, PREV-NEW = -1, DURATION = 179
25.04.2017 03:06:58: DCF time = 03:07:00, PREV-NEW = -2, DURATION = 418
26.04.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
27.04.2017 03:03:58: DCF time = 03:04:00, PREV-NEW = -2, DURATION = 238
28.04.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 118
29.04.2017 03:02:58: DCF time = 03:03:00, PREV-NEW = -2, DURATION = 178
30.04.2017 03:02:58: DCF time = 03:03:00, PREV-NEW = -2, DURATION = 178
01.05.2017 03:01:59: DCF time = 03:02:00, PREV-NEW = -1, DURATION = 119
02.05.2017 03:01:59: DCF time = 03:02:00, PREV-NEW = -1, DURATION = 119
03.05.2017 03:02:59: DCF time = 03:03:00, PREV-NEW = -1, DURATION = 179
04.05.2017 03:01:59: DCF time = 03:02:00, PREV-NEW = -1, DURATION = 119
05.05.2017 03:01:59: DCF time = 03:02:00, PREV-NEW = -1, DURATION = 119
06.05.2017 03:01:59: DCF time = 03:02:00, PREV-NEW = -1, DURATION = 119
07.05.2017 03:01:59: DCF time = 03:02:00, PREV-NEW = -1, DURATION = 119
08.05.2017 03:01:59: DCF time = 03:02:00, PREV-NEW = -1, DURATION = 119
09.05.2017 03:01:59: DCF time = 03:02:00, PREV-NEW = -1, DURATION = 119
10.05.2017 03:01:59: DCF time = 03:02:00, PREV-NEW = -1, DURATION = 119
11.05.2017 03:09:59: DCF time = 03:10:00, PREV-NEW = -1, DURATION = 599
12.05.2017 03:02:58: DCF time = 03:03:00, PREV-NEW = -2, DURATION = 179
13.05.2017 03:01:58: DCF time = 03:02:00, PREV-NEW = -2, DURATION = 119
14.05.2017 04:47:59: DCF time = 04:48:00, PREV-NEW = -1, DURATION = 6479
15.05.2017 03:03:58: DCF time = 03:04:00, PREV-NEW = -2, DURATION = 239
16.05.2017 03:01:59: DCF time = 03:02:00, PREV-NEW = -1, DURATION = 119
18.05.2017 00:18:58: DCF time = 00:19:00, PREV-NEW = -2, DURATION = 76738
